Channel, Contact, Label,Voxel X,Voxel Y, Voxel Z, RAS X (mm), RAS Y, RAS Z,  MNI X(mm), MNI Y, MNI Z, Unwarped X (voxel), Unwarped Y, Unwarped Z
1,1,1. left_anterior_subfrontal_strip 1,157.33,208.86,123.67,-30.69,72.93,1.41,-37.7,61.5,-8.46,154.93,201.87,122.72
2,2,2. left_anterior_subfrontal_strip 2,147.05,210.8,121.73,-20.41,74.86,-0.53,-27.47,63.96,-10.57,145.01,204.32,121
3,3,3. left_anterior_subfrontal_strip 3,136.72,213.64,119.52,-10.08,77.7,-2.74,-17.25,67.24,-13.13,135.43,208.44,119.19
4,4,4. left_anterior_subfrontal_strip 4,127.9,212.92,118.44,-1.26,76.99,-3.82,-8.29,67.24,-13.87,127.15,209.43,117.97
7,7,7. left_middle_subfrontal_strip 1,133.19,190.55,99.48,-6.55,54.61,-22.78,-10.59,42.16,-29.42,132.04,189.52,98.96
8,8,8. left_middle_subfrontal_strip 2,140.5,187.6,103.61,-13.86,51.66,-18.66,-17.87,39.43,-24.76,139.2,185.3,103.15
9,9,9. left_middle_subfrontal_strip 3,147.53,188.5,107.18,-20.88,52.57,-15.09,-25.18,40.26,-21.42,146.22,184.71,106.92
10,10,10. left_middle_subfrontal_strip 4,157.04,189.23,109.03,-30.4,53.3,-13.23,-34.87,40.35,-19.89,155.91,184.48,109.11
11,11,11. left_posterior_subfrontal_strip 1,116.74,166.67,94.87,9.9,30.73,-27.4,8.33,20.47,-29.13,116.14,167.25,94.5
12,12,12. left_posterior_subfrontal_strip 2,127.02,167.7,95.02,-0.37,31.77,-27.24,-2.09,20.46,-29.46,126.47,168.08,94.5
13,13,13. left_posterior_subfrontal_strip 3,136.66,169.38,95.85,-10.02,33.44,-26.42,-11.96,21.24,-29.19,136.11,169.16,95.5
14,14,14. left_posterior_subfrontal_strip 4,146.39,171.82,99.38,-19.75,35.88,-22.88,-22.12,23.23,-26.26,145.8,170.45,99.44
15,15,15. left_posterior_subfrontal_strip 5,153.84,173.2,102.67,-27.2,37.27,-19.6,-29.88,24.41,-23.32,153.45,170.77,103.19
16,16,16. left_posterior_subfrontal_strip 6,161.03,175.71,106.45,-34.39,39.77,-15.82,-37.51,26.76,-20.07,160.78,172.14,107.2
17,17,17. left_middle_subtemporal_strip 1,159.23,100.16,95.11,-32.59,-35.77,-27.16,-28.22,-46.21,-17.17,157.41,99.86,94.66
18,18,18. left_middle_subtemporal_strip 2,167.86,102.38,91.53,-41.22,-33.56,-30.73,-36.89,-45.63,-21.57,166.16,102.03,91.17
19,19,19. left_middle_subtemporal_strip 3,176.53,104.49,90.29,-49.89,-31.45,-31.98,-45.73,-44.73,-23.52,175.34,103.89,90.15
20,20,20. left_middle_subtemporal_strip 4,185.18,106.49,89.71,-58.54,-29.44,-32.56,-54.56,-43.81,-24.75,184.66,105.66,89.92
21,21,21. left_anterior_subtemporal_strip 1,158.55,107.49,94.26,-31.91,-28.44,-28,-28.16,-39.4,-19.46,157.17,107.05,93.9
22,22,22. left_anterior_subtemporal_strip 2,167.46,110.92,89.64,-40.82,-25.01,-32.63,-37.18,-37.91,-25.18,166.39,110.47,89.55
23,23,23. left_anterior_subtemporal_strip 3,175.08,114.66,88.29,-48.44,-21.28,-33.98,-45.1,-35.39,-27.53,174.62,114.09,88.55
24,24,24. left_anterior_subtemporal_strip 4,182.36,118.46,86.67,-55.72,-17.47,-35.59,-52.67,-32.83,-30.15,182.48,117.79,87.33
25,25,25. left_anterior_insula_depth 1,135.19,155.72,107.32,-8.55,19.78,-14.94,-9.8,10.67,-14.55,134.64,154.59,106.87
26,26,26. left_anterior_insula_depth 2,140.08,156.05,107.17,-13.44,20.12,-15.1,-14.73,10.47,-14.92,139.57,154.59,106.74
27,27,27. left_anterior_insula_depth 3,144.38,156.45,107.67,-17.74,20.52,-14.6,-19.11,10.52,-14.6,143.92,154.59,107.32
28,28,28. left_anterior_insula_depth 4,148.36,157.83,107.82,-21.72,21.89,-14.45,-23.23,11.45,-14.82,147.97,155.59,107.61
